"No.","Time","Source","Destination","Protocol","Length","Info"
"214","3.090761768","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=276914 Ack=2084 Win=24576 Len=2736 TSval=81927620 TSecr=1864127902 [TCP segment of a reassembled PDU]"
"215","3.090761862","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=279650 Ack=2084 Win=24576 Len=2736 TSval=81927621 TSecr=1864127904 [TCP segment of a reassembled PDU]"
"216","3.090761949","104.26.10.104","172.21.0.134","TCP","2802","443  >  44548 [PSH, ACK] Seq=282386 Ack=2084 Win=24576 Len=2736 TSval=81927623 TSecr=1864127906 [TCP segment of a reassembled PDU]"
"217","3.090909869","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=285122 Ack=2084 Win=24576 Len=1368 TSval=81927624 TSecr=1864127906 [TCP segment of a reassembled PDU]"
"218","3.091135193","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [PSH, ACK] Seq=286490 Ack=2084 Win=24576 Len=1368 TSval=81927624 TSecr=1864127906 [TCP segment of a reassembled PDU]"
"219","3.091707213","104.26.10.104","172.21.0.134","TCP","1434","443  >  44548 [ACK] Seq=287858 Ack=2084 Win=24576 Len=1368 TSval=81927626 TSecr=1864127908 [TCP segment of a reassembled PDU]"
"221","3.092084097","104.26.10.104","172.21.0.134","TLSv1.3","1434","[TCP Previous segment not captured] , Continuation Data"
"223","3.120967888","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"224","3.121592994","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"225","3.121593278","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"226","3.121593368","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"227","3.121593460","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"228","3.121703148","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"229","3.121782214","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"231","3.122265760","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"233","3.124570086","104.26.10.104","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  44548 [ACK] Seq=293330 Ack=2084 Win=24576 Len=1368 TSval=81927680 TSecr=1864127957 [TCP segment of a reassembled PDU]"
"235","3.152439954","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=294698 Ack=2084 Win=24576 Len=1368 TSval=81927680 TSecr=1864127957"
"236","3.152999943","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=296066 Ack=2084 Win=24576 Len=2736 TSval=81927683 TSecr=1864127957"
"237","3.153000136","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=298802 Ack=2084 Win=24576 Len=2736 TSval=81927686 TSecr=1864127957"
"238","3.153000281","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=301538 Ack=2084 Win=24576 Len=2736 TSval=81927689 TSecr=1864127957"
"239","3.153000370","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=304274 Ack=2084 Win=24576 Len=2736 TSval=81927701 TSecr=1864127987"
"240","3.153065161","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=307010 Ack=2084 Win=24576 Len=2736 TSval=81927703 TSecr=1864127987"
"241","3.153201173","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=309746 Ack=2084 Win=24576 Len=1368 TSval=81927706 TSecr=1864127987"
"243","3.153848394","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=311114 Ack=2084 Win=24576 Len=1368 TSval=81927706 TSecr=1864127987"
"245","3.184168085","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=315218 Ack=2084 Win=24576 Len=1368 TSval=81927712 TSecr=1864127987"
"246","3.184800834","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=316586 Ack=2084 Win=24576 Len=1368 TSval=81927712 TSecr=1864127987"
"247","3.184801189","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=317954 Ack=2084 Win=24576 Len=2736 TSval=81927715 TSecr=1864127987"
"248","3.184801279","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=270074 Ack=2084 Win=24576 Len=1368 TSval=81927718 TSecr=1864127989"
"250","3.184801367","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=289226 Ack=2084 Win=24576 Len=1368 TSval=81927719 TSecr=1864127989"
"252","3.184801459","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=290594 Ack=2084 Win=24576 Len=1368 TSval=81927721 TSecr=1864127989"
"254","3.184801547","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=291962 Ack=2084 Win=24576 Len=1368 TSval=81927733 TSecr=1864128018"
"255","3.184801638","104.26.10.104","172.21.0.134","TCP","2802","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=320690 Ack=2084 Win=24576 Len=2736 TSval=81927734 TSecr=1864128018"
"256","3.184982007","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=323426 Ack=2084 Win=24576 Len=1368 TSval=81927737 TSecr=1864128018"
"260","3.185133765","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [PSH, ACK] Seq=324794 Ack=2084 Win=24576 Len=1368 TSval=81927737 TSecr=1864128018"
"261","3.185133972","104.26.10.104","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  44548 [ACK] Seq=326162 Ack=2084 Win=24576 Len=1368 TSval=81927740 TSecr=1864128018"
"263","3.187489019","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"265","3.214887996","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"266","3.215482169","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"267","3.215482473","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"268","3.215482565","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"269","3.215482653","104.26.10.104","172.21.0.134","TLSv1.3","2802","Continuation Data"
"270","3.215556482","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"271","3.215556624","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"272","3.215700933","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"274","3.216380424","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
"276","3.246767471","104.26.10.104","172.21.0.134","TLSv1.3","1434","[TCP Previous segment not captured] , Continuation Data"
"278","3.248688116","104.26.10.104","172.21.0.134","TLSv1.3","1434","Continuation Data"
