"No.","Time","Source","Destination","Protocol","Length","Info"
"9573","972.810889755","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9575","973.118973967","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9577","973.322941797","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9579","973.528687707","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9581","973.836660178","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9583","974.040130225","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9585","974.244552002","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9587","974.551912460","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9589","974.757172406","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9591","974.961660037","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9593","975.268820527","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9595","975.473804035","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9597","975.678430788","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9599","975.985782575","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9601","976.190650637","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9603","976.498009412","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9605","976.702230906","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9607","976.908778337","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9609","977.130112650","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=5956759 Ack=1 Win=501 Len=1368 TSval=1404200367 TSecr=4005705146 [TCP segment of a reassembled PDU]"
"9611","977.130880027","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"9613","977.419681035","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9615","977.624146265","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9617","977.931631256","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9619","978.136858823","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9621","978.444744824","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9622","978.444745396","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9625","978.648099869","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9627","978.852695439","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9629","979.160456760","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9631","979.365416070","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9633","979.569562701","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9635","979.774399258","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9637","980.082393054","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9639","980.286348864","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9641","980.491992412","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9643","980.798495104","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9645","981.003521392","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9647","981.280360029","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9649","981.515378666","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=5983777 Ack=1 Win=501 Len=1368 TSval=1404204665 TSecr=4005709518 [TCP segment of a reassembled PDU]"
"9651","981.720414739","88.99.245.8","172.21.0.134","TLSv1.2","1488","[TCP Previous segment not captured] , Application Data"
