"No.","Time","Source","Destination","Protocol","Length","Info"
"5671","103.839945","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=597058 Ack=239899 Win=65536 Len=0"
"5672","103.840829","104.17.92.199","10.2.255.181","TLSv1.3","199","Application Data"
"5673","103.873467","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=597203 Ack=239981 Win=65536 Len=0"
"5674","103.879122","104.17.92.199","10.2.255.181","TLSv1.3","187","Application Data"
"5675","103.905673","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=597336 Ack=240063 Win=65536 Len=0"
"5676","103.920579","104.17.92.199","10.2.255.181","TLSv1.3","199","Application Data"
"5677","103.939964","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=597481 Ack=240145 Win=65536 Len=0"
"5678","103.959987","104.17.92.199","10.2.255.181","TLSv1.3","192","Application Data"
"5679","103.989899","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=597619 Ack=240268 Win=65536 Len=0"
"5680","103.998954","104.17.92.199","10.2.255.181","TLSv1.3","181","Application Data"
"5681","104.022474","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5682","104.039299","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=598035 Ack=240391 Win=65536 Len=0"
"5683","104.053593","104.17.92.199","10.2.255.181","TLSv1.3","234","Application Data"
"5684","104.072804","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=598215 Ack=240473 Win=65536 Len=0"
"5685","104.080082","104.17.92.199","10.2.255.181","TLSv1.3","154","Application Data"
"5686","104.106323","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=598315 Ack=240555 Win=65536 Len=0"
"5687","104.120671","104.17.92.199","10.2.255.181","TLSv1.3","213","Application Data"
"5688","104.140980","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=598474 Ack=240637 Win=65536 Len=0"
"5689","104.161135","104.17.92.199","10.2.255.181","TLSv1.3","173","Application Data"
"5690","104.190074","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=598593 Ack=240760 Win=65536 Len=0"
"5691","104.198880","104.17.92.199","10.2.255.181","TLSv1.3","158","Application Data"
"5692","104.220594","104.17.92.199","10.2.255.181","TLSv1.3","1382","Application Data"
"5693","104.224241","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5694","104.241748","104.17.92.199","10.2.255.181","TLSv1.3","143","Application Data"
"5695","104.272722","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=600403 Ack=240965 Win=65536 Len=0"
"5696","104.278382","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5697","104.290430","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5698","104.316305","104.17.92.199","10.2.255.181","TLSv1.3","170","Application Data"
"5699","104.335338","104.17.92.199","10.2.255.181","TLSv1.3","79","Application Data"
"5700","104.355950","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=600693 Ack=241170 Win=65536 Len=0"
"5701","104.356556","104.17.92.199","10.2.255.181","TLSv1.3","164","Application Data"
"5702","104.389109","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=600803 Ack=241252 Win=65536 Len=0"
"5703","104.397856","104.17.92.199","10.2.255.181","TLSv1.3","174","Application Data"
"5704","104.415469","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5705","104.436941","104.17.92.199","10.2.255.181","TLSv1.3","249","Application Data"
"5706","104.456104","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=601407 Ack=241416 Win=65536 Len=0"
"5707","104.484014","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5708","104.506147","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=601492 Ack=241539 Win=65536 Len=0"
"5709","104.520911","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5710","104.530500","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5711","104.556117","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=601641 Ack=241662 Win=65536 Len=0"
"5712","104.559268","104.17.92.199","10.2.255.181","TLSv1.3","163","Application Data"
"5713","104.589411","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=601750 Ack=241744 Win=65536 Len=0"
"5714","104.600208","104.17.92.199","10.2.255.181","TLSv1.3","168","Application Data"
"5715","104.617326","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5716","104.638744","104.17.92.199","10.2.255.181","TLSv1.3","158","Application Data"
"5717","104.655431","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=602257 Ack=241908 Win=65536 Len=0"
"5718","104.678816","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5719","104.706060","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=602342 Ack=242031 Win=65536 Len=0"
"5720","104.717495","104.17.92.199","10.2.255.181","TLSv1.3","158","Application Data"
"5721","104.738974","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=602446 Ack=242113 Win=65536 Len=0"
"5722","104.755373","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5723","104.770572","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5724","104.795860","104.17.92.199","10.2.255.181","TLSv1.3","158","Application Data"
"5725","104.816390","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5726","104.837627","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=602988 Ack=242318 Win=65536 Len=0"
"5727","104.838629","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5728","104.872511","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=603073 Ack=242400 Win=65536 Len=0"
"5729","104.875605","104.17.92.199","10.2.255.181","TLSv1.3","187","Application Data"
"5730","104.905491","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=603206 Ack=242482 Win=65536 Len=0"
"5731","104.917034","104.17.92.199","10.2.255.181","TLSv1.3","145","Application Data"
"5732","104.938846","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=603297 Ack=242564 Win=65536 Len=0"
"5733","104.958692","104.17.92.199","10.2.255.181","TLSv1.3","150","Application Data"
"5734","104.989210","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=603393 Ack=242687 Win=65536 Len=0"
"5735","104.997992","104.17.92.199","10.2.255.181","TLSv1.3","178","Application Data"
"5736","105.010578","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5737","105.017467","104.17.92.199","10.2.255.181","TLSv1.3","343","Application Data"
"5738","105.038476","104.17.92.199","10.2.255.181","TLSv1.3","139","Application Data"
"5739","105.071233","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=603955 Ack=242851 Win=65536 Len=0"
"5740","105.102389","104.17.92.199","10.2.255.181","TLSv1.3","166","Application Data"
"5741","105.121057","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=604067 Ack=242974 Win=65536 Len=0"
"5742","105.123599","104.17.92.199","10.2.255.181","TLSv1.3","150","Application Data"
"5743","105.154936","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=604163 Ack=243056 Win=65536 Len=0"
"5744","105.155226","104.17.92.199","10.2.255.181","TLSv1.3","158","Application Data"
"5745","105.187592","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=604267 Ack=243138 Win=65536 Len=0"
"5746","105.196785","104.17.92.199","10.2.255.181","TLSv1.3","159","Application Data"
"5747","105.220674","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=604372 Ack=243220 Win=65536 Len=0"
"5748","105.224428","104.17.92.199","10.2.255.181","TCP","1514","443  >  59839 [ACK] Seq=604372 Ack=243220 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"5749","105.224428","104.17.92.199","10.2.255.181","TLSv1.3","189","Application Data"
"5750","105.238544","104.17.92.199","10.2.255.181","TLSv1.3","130","Application Data"
"5751","105.252223","104.17.92.199","10.2.255.181","TLSv1.3","118","Application Data"
"5752","105.270911","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=606107 Ack=243343 Win=65536 Len=0"
"5753","105.281263","104.17.92.199","10.2.255.181","TLSv1.3","138","Application Data"
"5754","105.304247","104.17.92.199","10.2.255.181","TCP","60","443  >  59839 [ACK] Seq=606191 Ack=243425 Win=65536 Len=0"
"5755","105.315067","104.17.92.199","10.2.255.181","TLSv1.3","124","Application Data"
